Date,Open,High,Low,Close
12/31/2021,"0.20913%","0.20913%","0.20913%","0.20913%"
12/30/2021,"0.21438%","0.21438%","0.21438%","0.21438%"
12/29/2021,"0.22375%","0.22375%","0.22375%","0.22375%"
12/28/2021,"0.21788%","0.21788%","0.21788%","0.21788%"
12/27/2021,"0.21788%","0.21788%","0.21788%","0.21788%"
12/24/2021,"0.21788%","0.21788%","0.21788%","0.21788%"
12/23/2021,"0.21975%","0.21975%","0.21975%","0.21975%"
12/22/2021,"0.21138%","0.21138%","0.21138%","0.21138%"
12/21/2021,"0.21600%","0.21600%","0.21600%","0.21600%"
12/20/2021,"0.21425%","0.21425%","0.21425%","0.21425%"
12/17/2021,"0.21263%","0.21263%","0.21263%","0.21263%"
12/16/2021,"0.21363%","0.21363%","0.21363%","0.21363%"
12/15/2021,"0.21563%","0.21563%","0.21563%","0.21563%"
12/14/2021,"0.21088%","0.21088%","0.21088%","0.21088%"
12/13/2021,"0.20275%","0.20275%","0.20275%","0.20275%"
12/10/2021,"0.19825%","0.19825%","0.19825%","0.19825%"
12/09/2021,"0.20088%","0.20088%","0.20088%","0.20088%"
12/08/2021,"0.20050%","0.20050%","0.20050%","0.20050%"
12/07/2021,"0.19825%","0.19825%","0.19825%","0.19825%"
12/06/2021,"0.19000%","0.19000%","0.19000%","0.19000%"
12/03/2021,"0.18763%","0.18763%","0.18763%","0.18763%"
12/02/2021,"0.18013%","0.18013%","0.18013%","0.18013%"
12/01/2021,"0.17463%","0.17463%","0.17463%","0.17463%"
11/30/2021,"0.17325%","0.17325%","0.17325%","0.17325%"
11/29/2021,"0.17088%","0.17088%","0.17088%","0.17088%"
11/26/2021,"0.17538%","0.17538%","0.17538%","0.17538%"
11/25/2021,"0.17563%","0.17563%","0.17563%","0.17563%"
11/24/2021,"0.18025%","0.18025%","0.18025%","0.18025%"
11/23/2021,"0.17800%","0.17800%","0.17800%","0.17800%"
11/22/2021,"0.16963%","0.16963%","0.16963%","0.16963%"
11/19/2021,"0.16400%","0.16400%","0.16400%","0.16400%"
11/18/2021,"0.15963%","0.15963%","0.15963%","0.15963%"
11/17/2021,"0.15750%","0.15750%","0.15750%","0.15750%"
11/16/2021,"0.16000%","0.16000%","0.16000%","0.16000%"
11/15/2021,"0.15788%","0.15788%","0.15788%","0.15788%"
11/12/2021,"0.15500%","0.15500%","0.15500%","0.15500%"
11/11/2021,"0.15600%","0.15600%","0.15600%","0.15600%"
11/10/2021,"0.15438%","0.15438%","0.15438%","0.15438%"
11/09/2021,"0.14950%","0.14950%","0.14950%","0.14950%"
11/08/2021,"0.14563%","0.14563%","0.14563%","0.14563%"
11/05/2021,"0.14275%","0.14275%","0.14275%","0.14275%"
11/04/2021,"0.14438%","0.14438%","0.14438%","0.14438%"
11/03/2021,"0.13975%","0.13975%","0.13975%","0.13975%"
11/02/2021,"0.14500%","0.14500%","0.14500%","0.14500%"
11/01/2021,"0.14088%","0.14088%","0.14088%","0.14088%"
10/29/2021,"0.13225%","0.13225%","0.13225%","0.13225%"
10/28/2021,"0.13163%","0.13163%","0.13163%","0.13163%"
10/27/2021,"0.12863%","0.12863%","0.12863%","0.12863%"
10/26/2021,"0.13588%","0.13588%","0.13588%","0.13588%"
10/25/2021,"0.13450%","0.13450%","0.13450%","0.13450%"
10/22/2021,"0.12488%","0.12488%","0.12488%","0.12488%"
10/21/2021,"0.12388%","0.12388%","0.12388%","0.12388%"
10/20/2021,"0.12825%","0.12825%","0.12825%","0.12825%"
10/19/2021,"0.12950%","0.12950%","0.12950%","0.12950%"
10/18/2021,"0.13150%","0.13150%","0.13150%","0.13150%"
10/15/2021,"0.12363%","0.12363%","0.12363%","0.12363%"
10/14/2021,"0.12225%","0.12225%","0.12225%","0.12225%"
10/13/2021,"0.12375%","0.12375%","0.12375%","0.12375%"
10/12/2021,"0.12675%","0.12675%","0.12675%","0.12675%"
10/11/2021,"0.12175%","0.12175%","0.12175%","0.12175%"
